11/08/2026
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
514272	Bhilwara Spinners Ltd	90.53630
514274	VARVEE GLOBAL LIMITED	515.28678
514280	Sanrhea Technical Textiles Ltd	56.90000
514282	Uniworth International ltd.	106.00000
514286	Ashima Ltd	1916.60078
514300	Pioneer Embroideries Ltd.	308.07192
514302	Vippy Spinpro Ltd.	58.70000
514306	Garlon Polyfab Industries Ltd.	46.13200
514312	JAIHIND INDUSTRIES LIMITED	63.20000
514316	Raghuvir Synthetics Ltd.	387.50000
514318	Jattashankar Industries Limite	43.87100
514322	Kamadgiri Fashion Limited	58.69371
514324	Omnitex Industries (India) Ltd	42.04100
514326	Patspin India Ltd.	309.20000
514328	Nachmo Knitex Ltd.	150.29273
514330	ONE GLOBAL SERVICE PROVIDER LI	195.43003
514332	Neo Infracon Ltd.	53.06800
514336	CCME GLOBAL LIMITED	452.50000
514348	Winsome Yarns Ltd.	707.07229
514354	Premier Polyfilm Ltd.	1047.42475
514358	EVERLON FINANCIALS LIMITED	62.00000
514360	K&R RAIL ENGINEERING LIMITED	381.09294
514378	Yarn Syndicate Ltd.	51.47576
514386	Gujarat Cotex Ltd	949.33241
514394	Atlas Jewellery India Limited	1006.54533
514400	Garware Synthetics Ltd.	58.08900
514402	ECO HOTELS AND RESORTS LIMITED	619.43035
514412	SARUP INDUSTRIES LIMITED	32.52400
514414	Oxford Industries ltd.	59.43350
514418	Mangalam Organics Limited	85.64440
514428	Hindustan Adhesives Ltd.	51.16300
514440	Blue Pearl Agriventures Limite	6025.60000
514442	Sri KPR Industries Ltd	201.45695
514446	LS Industries Limited	8488.18700
514448	Jyoti Resins & Adhesives Ltd	120.00000
514450	Mahalaxmi Rubtech Ltd.	106.20275
514454	Southern Latex Ltd.	73.59200
514460	Oswal Yarns Ltd.	40.10000
514470	Winsome Textile Industries Ltd	198.20000
514482	Asahi Industries Limited	664.42552
515008	Modern Insulators Ltd.	471.43900
515018	Regency Ceramics Ltd	264.41586
515030	Asahi India Glass Ltd.	2549.27192
515037	Murudeshwar Ceramics Ltd.	605.45260
515043	Saint-Gobain Sekurit India Ltd	911.05700
515053	Gujarat Refractories Ltd.	29.00000
515055	Anant Raj Limited	3598.76930
515059	Madhusudan Industries Ltd.	53.75000
515085	Restile Ceramics Ltd.	982.79239
515093	Madhav Marbles & Granites Ltd.	89.47000
515111	Prakash Ceramics Ltd	34.20000
515127	Ramasigns Industries Limited	285.50000
515147	Haldyn Glass Limited	537.51700
516003	DUROPLY INDUSTRIES LIMITED	108.48298
516016	Shreyans Industries Limited.	138.24550
516020	Agio Paper & Industries Limite	161.25400
516022	Star Paper Mills Ltd.	156.08350
516030	PAKKA LIMITED	449.48100
516032	TAHMAR ENTERPRISES LIMITED	1557.89000
516038	KS Smart Technologies Limited	1640.70000
516062	National Plywood Industries Lt	246.42750
516064	Arrow Greentech Limited	150.87938
516072	Vishnu Chemicals Limited	673.15284
516078	Jumbo Bag ltd.	83.73700
516082	N.R.Agarwal Industries Ltd.	170.19100
516086	Shree Rajeshwaranand Paper Mil	124.50000
516092	3P LAND HOLDINGS LTD.	180.00000
516096	Sangal Papers Ltd.	13.07260
516098	Ventura Textiles Ltd.	194.53289
516106	Shree Karthik Papers Ltd.	191.10000
516108	South India Paper Mills Ltd.	187.50000
516110	FAMILY CARE HOSPITALS LIMITED	540.14774
517015	Vindhya Telelinks Ltd.	118.50863
517035	RIR POWER ELECTRONICS LIMITED	795.72400
517041	Ador Welding Ltd.	174.02815
517044	International Data Managements	22.00000
517059	Salzer Electronics Ltd.	176.82737
517063	Jetking Infotrain Ltd.	59.07500
517077	Ind-Agiv Commerce Ltd.	30.56965
517096	Aplab Ltd.	125.70000
517119	PCS Technology Ltd.	209.50677
517146	Usha Martin Ltd.	3047.41780
517159	Telephone Cables Ltd	98.90000
517164	Zenith Computers Ltd.	154.80840
517166	SPEL Semiconductor Ltd.	461.17443
517168	Subros Ltd.	652.35750
517170	Edvenswa Enterprises Limited	292.15965
517172	Pervasive Commodities Limited	9009.52200
517174	Honeywell Automation India Ltd	88.41523
517176	Webel Communication Industries	18.00000
517201	Switching Technologies Gunther	24.50000
517206	Lumax Industries Ltd.	93.47732
517214	DIGISPICE TECHNOLOGIES LIMITED	2346.71106
517228	Trend Electronics Limited	75.00000
517230	AURIQUE LIMITED	13.00000
517236	Calcom Vision Ltd.	139.85349
517238	Dynavision Limited	38.40000
517242	SAKA LIMITED	96.76767
517246	BCC Fuba India Ltd.	197.42270
517258	Precision Electronics Ltd.	138.48512
517264	Fine-line Circuits Ltd.	48.07786
517271	HBL ENGINEERING LIMITED	2771.94946
517273	S & S Power Switchgears Ltd.	123.41550
517286	RNIT AI SOLUTIONS LIMITED	847.92083
517288	Gujarat Poly Electronics Limit	85.50000
517300	Gujarat Industries Power Co. L	1552.15944
517320	MAGNUS STEEL AND INFRA LIMITED	33.80300
517330	CMI Limited	160.27457
517334	Samvardhana Motherson Internat	105540.77308
517336	Modern Malleables Limited	1165.25000
517344	Mindteck (India) Ltd	319.54221
517354	Havells India Limited	6275.61652
517356	ACI Infocom Ltd.	1104.90900
517360	SBEC Systems (Ind) Ltd.	100.00000
517370	Incap Ltd	46.53200
517372	Gujarat Intrux Limited	34.35300
517380	Igarashi Motors India Ltd.	314.75048
517385	Symphony Limited	686.71400
517393	REGANTO ENTERPRISES LIMITED	1463.02460
517397	Pan Electronics India Ltd.	40.00000
517399	VXL Instruments Ltd.	133.24800
517411	Shyam Telecom Ltd.	112.70000
517415	Lee & Nee Softwares (Exports)	557.74000
517417	Patels Airtemp (I) Ltd.	54.70240
517421	Butterfly Gandhimathi Applianc	178.79551
517423	Integra Switchgear Ltd.	28.81600
517429	Athena Global Technologies Lim	147.11588
517431	Narmada Macplast Drip Irrigati	362.30000
517437	Dutron  Polymers Ltd.	60.00000
517447	R S Software India Ltd.	258.31211
517449	Magna Electro Castings Ltd.	42.32104
517463	Linaks Microelectronics Ltd.	173.35300
517467	MARSONS LIMITED	1721.00000
517477	Elnet Technologies Ltd.	40.00007
517494	ACCEL LIMITED	575.72401
517498	Websol Energy System Limited	4341.63470
517500	Roto Pumps Ltd.	1884.45660
517506	TTK Prestige Ltd.	1369.66384
517514	D & H India Limited	102.35000
517518	Leel Electricals Limited	403.32260
517522	Rajratan Global Wire Ltd	507.71000
517526	Inditalia Refcon Ltd.	119.00700
517530	Surana Telecom And Power Limit	1357.59963
517536	Onward Technologies Ltd.	222.42890
517544	Centum Electronics Ltd	147.59016
517546	Alfa Transformers ltd.	91.50645
517548	Starlite Components Ltd.	171.00000
517554	NHC FOODS LIMITED	7619.27040
517556	PVP Ventures Ltd	2604.03681
517562	Trigyn Technologies Ltd.	307.85736
517564	CLENON ENTERPRISES LIMITED	109.40316
517569	KEI Industries Ltd.	956.00595
517571	IMP Power Ltd.	86.36563
518011	Keerthi Industries Ltd	80.16738
518017	Bheema Cements Limited	326.10002
518053	Sri Chakra Cement Limited	90.00000
518075	Suraj Products Ltd.	114.00000
518091	Anjani Portland Cement Ltd.	293.74764
519003	Modi Naturals Limited	133.06397
519014	Prashant India Ltd	42.35443
519031	Shah Foods Ltd	233.15000
519064	Khandelwal Extraction Ltd.	8.50100
519091	Tasty Bite Eatables Ltd.	25.66000
519097	Ritesh International Ltd	93.72822
519105	AVT Natural Products Ltd.	1522.84000
519126	Hindustan Foods Ltd.	1211.62702
519136	Nahar Industrial Enterprises L	432.05581
519140	Vegepro Foods & Feeds Ltd.	212.80000
519152	Vadilal Enterprises Ltd.	8.62668
519156	Vadilal Industries Ltd.	71.87830
519168	Nijjer Agro Food Ltd.	102.00000
519174	Ashiana Agro Industries Ltd	46.00000
519183	ADF Foods Limited.	1098.63595
519191	Retro Green Revolution Limited	379.98000
519214	Williamson Financial Services	83.59136
519216	Ajanta Soya Limited	804.82990
519224	William Magor & Company Limite	109.56360
519230	KISAAN PARIVAR INDUSTRIES LIMI	88.00000
519234	Superior Industrial Enterprise	138.50000
519238	Saptarishi Agro Industries Ltd	340.22042
519242	Sarda Proteins Ltd	89.75900
519260	SANWARIA CONSUMER LIMITED	7361.00000
519262	Prima Agro Ltd.	51.94900
519279	Madhur Industries Limited	40.90000
519285	Tarai Foods Ltd.	177.28120
519287	Modern Dairies Ltd.	284.19861
519295	Bambino Agro Industries Ltd	80.08846
519299	Prime Industries Ltd.	210.03400
519307	Vikas WSP Ltd.	2044.39600
519319	JATALIA GLOBAL VENTURES LIMITE	37.05720
519331	VSF Projects Limited	65.76747
519353	Bansisons Tea Industries Ltd.	63.30000
519359	Poona Dal And Oil Industries L	57.08000
519367	Transglobe Foods Ltd.	1.44895
519383	Anik Industries Limited	277.53486
519397	Sharat Industries Ltd.	392.14451
519403	Milk Specialities Ltd.	90.03100
519413	DATIWARE MARITIME INFRA LIMITE	50.00000
519415	KMG Milk Food Limited	53.04600
519421	KSE Ltd.	320.00000
519439	Pioneer Agro Extracts ltd.	43.32300
519451	Vadilal Dairy International Lt	31.94150
519457	Virat Crane Industries Ltd	204.23750
519463	IB Infotech Enterprises Ltd	128.07210
519471	Ambar Protein Industries Limit	57.50000
519475	Chordia Food Products Ltd	40.28252
519477	CIAN Agro Industries & Infrast	279.85895
519479	Omega Ag-Seeds (Punjab) ltd.	79.04000
519483	Tai Industries Ltd.	60.00000
519494	N.K.Industries Ltd.	60.09900
519500	BKV Industries Ltd.	154.48584
519506	NCC Bluewater Products Ltd.	77.50000
519528	Norben Tea & Exports Ltd	155.44100
519532	Asian Tea & Exports Ltd.	249.41800
519546	Kengold (India) Ltd.	95.15250
519552	Heritage Foods Limited	927.96000
519566	Simran Farms Ltd.	48.10000
519570	Lakshmi Overseas Industries Lt	699.70000
519574	Hindustan Agrigenetics Ltd.	44.00200
519600	CCL Products (India) Ltd.	1335.27920
519602	Kellton Tech Solutions Ltd.	5278.04670
519604	Suryo Foods & Industries Ltd.	69.30000
519606	Integrated Proteins Ltd.	191.85200
519612	LAKE SHORE REALTY LIMITED	35.00700
520008	RICO Auto Industries Ltd.	1352.85000
520021	Omax Autos Ltd.	213.88213
520043	Munjal Showa Ltd.	399.95000
520051	Jamna Auto Industries Ltd.	3999.85135
520056	TVS Holdings Limited	202.32104
520057	JTEKT India Limited	2773.16210
520059	Munjal Auto Industries Ltd.	1000.00000
520066	Jay Bharat Maruti Ltd.	1082.50000
520073	RACL Geartech Limited	117.88080
520075	Samkrg Pistons and Rings Ltd.	98.20500
520081	East Coast Steel Ltd	53.96468
520086	Sical Logistics Limited	797.84870
520111	Ratnamani Metals & Tubes Ltd	700.92000
520113	Vesuvius India Ltd.	2029.60800
520119	Automotive Stampings and Assem	158.64397
520121	Arcee Indusrtries ltd.	51.38777
520123	ABC India Ltd.	54.17232
520127	Balurghat Technologies Ltd.	182.00000
520131	Coastal Roadways Ltd.	41.46565
520141	Sibar Auto Parts Ltd.	165.25100
520149	Mafatlal Lubricants Ltd.	100.00000
520151	TRANSWORLD SHIPPING LINES LIMI	219.57533
520155	Starlog Enterprises Limited	149.66985
521003	Shiva Suitings Ltd.	15.50395
521005	TITAN INTECH LIMITED	8825.76882
521009	Niwas Spinning Mills Ltd.	140.89393
521014	Eurotex Industries & Exports L	87.49865
521016	Indo Count Industries Ltd	1980.54340
521018	Maral Overseas Ltd.	415.08000
521030	Nakoda Limited	3000.00000
521034	Soma Textile & Industries Ltd	330.33000
521036	Source Industries (India) Ltd	114.03110
521048	Advance Lifestyles Ltd.	62.25750
521054	Kakatiya Textiles Ltd.	58.10600
521062	Perfect-Octave Media Projects	347.00100
521064	Trident Ltd	50959.55670
521068	Hisar Spinning Mills Ltd	37.35000
521070	Alok Industries Ltd.	49652.40401
521076	Amit Spinning Industries Ltd.	411.69667
521080	Pasari Spinning Mills Ltd.	138.00000
521082	CLC Industries Limited	103.94680
521097	Amarjothi Spinning Mills Ltd	67.50000
521105	Olympia Industries Ltd.	60.23570
521109	Nagreeka Exports Ltd.	312.49250
521113	Suditi Industries Ltd.	496.07024
521127	Khator Fibre & Fabrics Ltd.	42.50000
521131	Shree Bhavya Fabrics Limited	95.00000
521133	Gem Spinners India Ltd	613.71990
521137	Eureka Industries Ltd.	87.50000
521141	Aditya Spinners Ltd.	167.40888
521149	Prime Urban Development India	266.43600
521151	Dhanlaxmi Fabrics Ltd.	85.81100
521161	Sri Lakshmi Saraswathi Textile	33.32750
521163	Zodiac Clothing Co. Ltd.	274.58131
521167	MAXGROW INDIA LIMITED	399.45065
521176	Gangotri Textiles Ltd.	326.14634
521178	Sri Ramakrishna Mills (Coimbat	71.18330
521180	Super Spinning Mills Ltd.	550.00000
521188	United Textiles Ltd.	30.00000
521194	SIL Investments Ltd	105.95860
521200	Suryalakshmi Cotton Mills Ltd.	188.05290
521206	Samtex Fashions Ltd.	745.00000
521210	Cityman Limited	117.01100
521216	Dhanalaxmi Roto Spinners Ltd.	78.00600
521220	Damodar Industries Limited	233.00000
521222	Sanblue Corporation Limited	49.99575
521226	Uniroyal Industries Ltd	82.68720
521228	Tatia Global Vennture Limited	1516.20000
521232	Sunil Industries Ltd.	42.00000
521234	Sri Nachammai Cotton Mills Ltd	43.00000
521238	BHARAT GLOBAL DEVELOPERS LIMIT	1012.59600
521240	Sambandam Spinning Mills Ltd.	42.64600
521242	Kandagiri Spinning Mills Ltd.	38.49250
521244	MKP Mobility Limited	34.11030
521246	Paras Petrofils Ltd.	3342.21000
521248	Kitex Garmenets Ltd.	1995.00000
522001	Cranex Ltd.	80.20000
522004	Batliboi Ltd	472.21840
522005	Austin Engineering Co. Ltd.	34.77800
522014	United Drilling Tools Ltd.	203.03126
522017	Fluidomat Ltd.	49.27000
522027	Ema India Ltd.	10.05000
522029	Windsor Machines Limited	913.02201
522034	Shanthi Gears Ltd.	767.15853
522036	Miven Machine Tools Ltd.	30.03500
522042	S.M. Energy Teknik & Electroni	123.12000
522064	HONDA INDIA POWER PRODUCTS LIM	101.43071
522073	The Hi-Tech Gears Limited	188.13547
522074	Elgi Equipments Ltd.	3169.09016
522091	United Van Der Horst Ltd.	688.60000
522101	Kilburn Engineering Ltd	560.00358
522105	Birla Precision Technologies L	683.87637
522108	Yuken India Ltd.	135.84000
522113	Timken India Ltd	752.18734
522122	Voith Paper Fabrics India Ltd	43.92559
522134	ARTSON LIMITED	369.20000
522150	Aditya Forge Ltd	43.08600
522152	Solitaire Machine Tools Ltd	45.42176
522163	Diamond Power Infrastructure L	5980.71060
522165	Indsil Hydro Power and Mangane	277.91122
522171	TMT (India) ltd.	49.53800
522183	ITL Industries Ltd.	32.04300
522195	Frontier Springs Ltd.	118.15533
522205	Praj Industries Ltd.	1838.13088
522207	Rasandik Engg. Industries Indi	59.75000
522209	Yogi Sung-won (India) Ltd.	168.45800
522215	HLE GLASCOAT LIMITED	694.54739
522217	Gujarat Apollo Industries Ltd.	129.70000
522229	Taneja Aerospace & Aviation Lt	255.00536
522231	Conart Engineers Ltd.	62.80000
522235	Minal Industries Limited	1919.00650
522237	Shivagrico Implements Ltd.	50.13600
522241	M.M.Forgings Ltd.	482.81600
522245	Iykot Hitech Toolroom Ltd	62.78323
522249	Mayur Uniquoters ltd.	434.52600
522251	Cenlub Industries Ltd.	46.62899
522257	Rajoo Engineers Ltd.	1786.75293
522261	Dolphin Offshore Enterprises (	400.04580
522267	Veejay Lakshmi Engineering Wor	50.71900
522271	Union Bearings (India) Ltd.	36.53150
522273	Ahmedabad Steelcraft Ltd.	150.92000
522275	GE Vernova T&D India Limited	2560.46535
522281	Ram Ratna Wires Ltd.	933.49072
522285	Jayaswal Neco Industries Ltd	9709.98244
522287	KALPATARU PROJECTS INTERNATION	1707.72546
522289	NMS GLOBAL LIMITED	30.05600
522292	CANDOUR TECHTEX LIMITED	244.11438
522294	T & I Global Ltd.	50.67700
522295	CONTROL PRINT LIMITED	159.94212
522650	Bemco Hydraulics Ltd.	437.34000
523007	Ansal Buildwell Ltd.	73.83843
523011	Weizmann Limited.	154.93852
523019	B.N.Rathi Securities Ltd.	417.50000
523021	Rishi Techtex Limited	73.91000
523023	SINCLAIRS HOTELS LIMITED	512.60000
523025	Safari Industries (India) Ltd.	489.97306
523031	A.D.S. Diagnostics Ltd.	22.50000
523054	Binayak Tex Processors  Ltd.	7.11300
523062	J.J. Finance Corporation Ltd.	28.20000
523100	Cosmo Ferrites Ltd.	120.30000
523105	CROPSTER AGRO LIMITED	8400.00000
523113	Futuristic Securities Ltd	19.50000
523116	Sanco Trans Ltd.	18.00000
523120	THRIVE FUTURE HABITATS LIMITED	113.19581
523127	EIH Associated Hotels Ltd.	609.36294
523144	Medi-Caps Ltd.	124.69956
523151	Otco International Ltd	129.68120
523160	FOSECO CRUCIBLE INDIA LIMITED	56.00000
523164	SIP Industries Ltd	46.76415
523186	B&A Packaging India Limited	22.10000
523204	Aban  Offshore Ltd.	583.65323
523207	Kokuyo Camlin Ltd	1003.03806
523209	Nicco-Uco Alliance Credit Ltd.	830.45503
523218	Kilburn Office Automation Ltd.	67.50100
523222	SRM Energy Limited	90.60000
523229	Bharat Seats Ltd	628.00000
523230	Jalpac India Ltd.	68.90000
523232	Continental Petroleums Ltd.	84.67874
523242	N.B. Footwear Ltd.	135.00000
523248	Machino Plastics Ltd	61.36800
523260	Pearl Polymers Ltd.	168.34932
523261	Venky's (India) ltd.	140.87336
523269	Advani Hotels & Resorts (India	924.38500
523277	G.V. Films  Ltd.	18646.27833
523283	Superhouse limited	110.25000
523289	Rama Vision Ltd	104.26266
523301	TCPL Packaging Limited	91.00000
523309	Shri Gang Industries & Allied	212.39055
523315	Purity Flex Pack Ltd	32.20200
523319	BALMER LAWRIE AND COMPANY LIMI	1710.03846
523323	Kovai Medical Center & Hospita	109.42262
523329	Eldeco Housing & Ind. Ltd.	98.33000
523343	Microse India Limited	30.03000
523351	Standard Shoe Sole and Mould (	51.81500
523367	DCM Shriram Limited	1559.42296
523369	DCM Shriram Industries Ltd.	869.92185
523371	Mawana Sugars Ltd	391.16864
523373	Mini Diamonds (India) Ltd.	2356.91160
523384	Maha Rashtra Apex Corporation	281.83792
523385	Nilkamal Limited	149.22525
523387	HOMRE LIMITED	1998.89650
523391	Nahar Polyfilms Ltd.	245.87991
523395	3M India Ltd.	112.65070
523398	BOSCH HOME COMFORT INDIA LIMIT	271.90884
523405	JM Financial Limited	9569.59936
523411	ADC India Communications Limit	46.00000
523419	Tamilnadu Telecommunications L	456.81000
523425	Sunraj Diamond Exports Ltd.	53.30400
523445	Reliance Industrial Infrastruc	151.00000
523449	Sharp India Ltd	259.44000
523457	Linde India Limited	852.84223
523465	Ind Bank Housing Ltd	100.00000
523467	Jai Mata Glass Ltd.	1000.00000
523475	Lotus Chocolate Co. Ltd.	128.41049
523483	Pacific Industries ltd.	68.92650
523489	Chennai Meenakshi Multispecial	74.68920
523519	Universal Office Automation Li	146.52686
523523	Rainbow Papers Ltd.	1062.17300
523537	APM Industries Ltd.	216.11360
523539	Precision Wires India ltd.	1828.07975
523544	Monica Electronics Ltd.	43.00000
523550	Krypton Industries Ltd	146.97130
523558	SWISS MILITARY CONSUMER GOODS	2361.38290
523566	Martin Burn Ltd	51.53859
523574	Future Enterprises Limited	4549.30401
523586	Indian Toners & Developers Ltd	519.58660
523594	Kunststoffe Industries Ltd.	68.90000
523598	Shipping Corporation Of India	4657.99010
523606	Sika Interplant Systems Ltd.	212.00875
523610	ITI Limited (Indian Teleph.Ind	9608.86938
523618	Dredging Corporation of India	280.00000
523620	Phaarmasia Limited.	68.26960
523628	Poddar Housing and Development	63.15400
523630	National Fertilizers Ltd.	4905.78400
523638	IP Rings Ltd.	126.75865
523642	PI Industries Limited	1517.18118
523648	Plastiblends India Ltd.	259.89200
523650	YASH INNOVENTURES LIMITED	160.29950
523652	Kkalpana Plastick Limited	55.28535
523660	Waterbase Limited	414.26779
523672	Flex Foods Ltd.	124.50000
523676	Golkunda Diamonds & Jewellery	69.64080
523694	Apcotex Industries Limited	518.44960
523696	Fortis Malar Hospitals Limited	187.41759
523704	Mastek Limited	310.02407
523708	EIMCO Elecon India Ltd.	57.68385
523710	SAYAJI HOTELS LIMITED	175.17977
523712	JMG Corporation Ltd	231.57895
523716	Ashiana Housing Limited	1005.24857
523722	Svam Software Ltd	168.89000
523732	Ecoboard Industries Ltd	264.06740
523736	Dhunseri Ventures Limited	350.24754
523752	TRANS INDIA HOUSE IMPEX LIMITE	710.52000
523754	MAHINDRA EPC IRRIGATION LIMITE	279.50753
523782	Mitshi India Limited	88.00000
523790	Shukra Jewellers Limited	135.72800
523792	Mazda Ltd.	200.25000
523796	Viceroy Hotels Ltd.	675.78948
523820	Neo Corp International Ltd	380.22198
523826	Sovereign Diamonds Ltd	57.88002
523828	Menon Bearings Ltd	560.40000
523832	Mukat Pipes Limited	118.30000
523836	Gujarat Raffia Ind. Ltd.	54.04500
523838	Simplex Infrastructures Limite	790.95346
523840	Innovative Tech Pack Ltd	224.65000
523842	Super Tannery Limited	1079.73360
523844	CONSTRONICS INFRA LIMITED	125.29041
523850	Axtel Industries Ltd.	161.54800
523862	GRAND OAK CANYONS DISTILLERY L	5188.83550
523874	East India Drums and Barrels M	147.74221
523876	Jyoti Overseas Ltd	64.62976
523888	MEGAMONT LIMITED	288.81806
523890	D.S.Kulkarni Developers Ltd	100.00000
523896	AVI PRODUCTS INDIA LIMITED	33.06802
524000	POONAWALLA FINCORP LIMITED	8805.12194
524019	Kingfa Science & Technology (I	135.51381
524031	Patidar Buildcon Limited	55.00570
524037	Rama Phosphates Ltd.	353.02458
524038	Venlon Enterprises Ltd.	522.42494
524046	Pet Plastics Ltd.	5.00000
524051	Polyplex Corporation Ltd.	313.92462
524055	Panther Industrial Products Lt	14.00007
524075	Albert David Ltd.	57.07162
524080	Haryana Leather Chemicals Ltd.	49.08470
524091	CARYSIL LIMITED	284.42606
524109	Kabra Extrusion Technik Ltd	349.72836
524129	Vinyl Chemicals (India) Ltd.	183.37111
524136	Pee Cee Cosma Sope Ltd.	26.46250
524156	TCM Ltd.	74.77877
524164	IOL Chemicals & Pharmaceutical	2935.27510
524174	Kesar Petroproducts Ltd	966.73170
524200	Vinati Organics Ltd.	1036.65632
524202	Lactose (India) Ltd.	125.89000
524204	Teesta Agro Industries Ltd	56.10000
524208	Aarti Industries Ltd	3627.26695
524210	Pentokey Organy (India) Ltd.	62.72629
524212	Wanbury Limited	349.39398
524218	Resonance Specialties Limited	115.44000
524226	Gujarat Ambuja Exports Ltd.	4586.70660
524230	Rashtriya Chemicals & Fertiliz	5516.88100
524238	Gujarat Inject (Kerala) Ltd.	1464.90000
524264	Unimers India Ltd.	159.01999
524280	Kopran Ltd.	482.85605
524288	Aimco Pesticides Ltd.	97.82513
524314	Gujarat Terce Laboratories Ltd	77.91300
524316	Hindustan Photo Films Mfg. Co.	2008.65000
524322	Kabra Drugs Ltd	237.07850
524324	Seya Industries Ltd	265.70540
524330	Jayant Agro-Organics Limited.	300.00000
524332	BCL INDUSTRIES LIMITED	2951.63340
524336	Shree Hari Chemicals Export Lt	63.12880
524342	Indo Borax & Chemicals Ltd.	320.90000
524348	Aarti Drugs Limited	912.70000
524366	Claro India Ltd	50.00000
524370	Bodal Chemicals Ltd	1259.44065
524372	Orchid Pharma Limited	507.19105
524394	Vimta Labs Ltd.	446.86904
524396	Biofil Chemicals & Pharmaceuti	162.73800
524400	Ishita Drugs & Industries Ltd.	29.90300
524404	Marksans Pharma Ltd.	4531.63746
524408	Universal Starch-Chem Allied L	42.00000
524412	Aarey Drugs & Pharmaceuticals	283.54303
524414	Norris Medicines Ltd.	100.00700
524434	Asian Petroproducts & Exports	245.57916
524440	Camex  Ltd.	102.08700
524444	EVEXIA LIFECARE LIMITED	18773.28995
524458	Indo Euro Indchem Limited	90.54500
524470	Syncom Formulations (India) Lt	9400.00000
524480	Riddhi Siddhi Gluco Biols Ltd	71.29786
524488	SVC INDUSTRIES LIMITED	1630.95352
524494	Ipca Laboratories Ltd.	2536.59218
524500	Kilitch Drugs (I) Ltd.	349.61564
524502	Raaj Medisafe India Limited	164.87612
524504	REVATI MEDIA LIMITED	30.00000
524506	Coral Laboratories Ltd.	35.72600
524514	Tulasee Bio-Ethanol Ltd.	58.93100
524516	Bacil Pharma Ltd.	143.53000
524518	Krebs Biochemicals & Industrie	215.60586
524520	KMC Speciality Hospitals India	1630.85000
524522	Laffans Petrochemicals Ltd.	80.00000
524534	Bhaskar Agrochemicals Ltd.	52.09633
524542	Sukhjit Starch & Chemicals Ltd	312.44000
524546	Satiate Agri Limited	29.27200
524548	Sharma East India Hospitals An	32.83800
524558	Neuland Laboratories Limited.	128.29889
524564	Gayatri BioOrganics Ltd	787.88142
524570	Poddar Pigments Ltd.	106.10000
524572	Pharmaids Pharmaceuticals Ltd.	352.67812
524576	Vivid Global Industries Limite	91.28870
524580	Priya Limited.	30.02300
524582	Tirupati Starch & Chemicals Lt	95.89221
524590	Hemo Organic Limited	34.65900
524592	JAYSYNTH ORGOCHEM LIMITED	1349.05800
524594	Aeonx Digital Technology Limit	46.00343
524598	AksharChem (India) Ltd.	80.33099
524602	BANDARAM PHARMA PACKTECH LIMIT	179.71920
524604	ADLINE CHEM LAB LIMITED	58.50000
524606	Beryl Drugs Ltd.	50.71700
524610	Rathi Graphics Technologies lt	164.39000
524614	IEL LIMITED	1303.92486
524622	iStreet Network Limited	694.16669
524624	Gagan Gases Ltd.	45.18500
524628	Parker Agro Chem Export Ltd.	47.79000
524632	Shukra Pharmaceuticals Limited	4396.14440
524634	Alufluoride  Ltd.	78.20482
524636	OXYGENTA PHARMACEUTICAL LIMITE	369.83500
524640	Archit Organosys Limited	204.99435
524642	Sikozy Realtors Limited	445.83000
524648	Indo Amines Ltd.	725.87560
524654	Natural Capsules Ltd.	104.11154
524661	Welcure Drugs & Pharmaceutical	12359.40200
524663	Bharat Immunologicals & Biolog	431.80000
524667	Savita Oil Technologies Limite	685.60415
524669	Hester Biosciences Ltd	85.06865
524671	Pinky Chemicals ltd.	50.00000
524675	Kabsons Industries Ltd.	174.63000
524687	Basant Agro-Tech (India) Ltd.	906.27500
524689	Parenteral Drug (India) Ltd.	298.16300
524695	Asian Fertilisers Ltd.	79.01500
524703	Sandu Pharmaceuticals Ltd.	96.60990
524709	NACL Industries Limited	2342.43330
524711	Vista Pharmaceuticals Ltd.	615.51907
524715	Sun Pharmaceutical Industries	23992.78440
524717	Titan Bio-Tech Ltd.	413.18500
524723	Arvaya Healthcare Limited	480.21857
524727	Span Divergent Limited	72.63228
524731	Jenburkt Pharmaceuticals Ltd.	44.13300
524735	Hikal Ltd.	1233.00750
524742	Caplin Point Laboratories Ltd.	760.11696
524743	FISCHER MEDICAL VENTURES LIMIT	6485.15470
524748	Link Pharma Chem Ltd.	44.40568
524752	DECIPHER LABS LIMITED	101.00000
524764	Nutraplus India Limited	340.91086
524768	Emmessar Biotech & Nutrition L	49.96100
524774	NGL Fine Chem Ltd.	61.78024
524790	Everest Organics Ltd.	97.10526
524804	Aurobindo Pharma Ltd.	5753.77895
524808	Phyto Chem (India) Ltd.	43.00200
524816	Natco Pharma Ltd.	1791.09870
524818	Dynamic Industries Ltd.	30.28500
524820	Panama Petrochem Ltd.	604.93598
524824	Bal Pharma Ltd.	159.20872
524828	BDH Industries Ltd.	57.57300
526001	Jauss Polymers Ltd	46.25575
526009	Procal Electronics India Ltd	35.00000
526025	Globus Constructors & Develope	989.48480
526027	Cubex Tubings Ltd	143.18975
526043	Polymechplast Machines Ltd.	56.01710
526071	STELLANT SECURITIES (INDIA) LI	55.35995
526073	Galaxy Bearings Ltd.	31.80000
526075	Rekvina Laboratories Ltd	60.28000
526081	SC Agrotech Limited	759.95000
